ligando_rdkt3d11,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
lig_240,4.337531825808875e-06,96.68732851994122,310.27147557108526,406.9588040878396,0.2375850517269356,0.7624149482808954,1.958251278345092,0.007885365744939902,0.971366739803206,0.456584815230139,1.7196984605921534e-11
lig_525,0,0,0,0,0,0,0,0,0,0,0
lig_798,8.154235045535971e-06,122.60128036361795,307.13761495812054,429.7388953121524,0.2852924920248683,0.7147075079974384,1.9152670249721129,0.005829527276368711,0.9584405010193593,0.38829794193722683,5.547957734909081e-11
lig_932,0.3470803750104524,666.3461194533528,2954.26719694723,3561.426276648613,0.1871009162319093,0.8295179985382894,3.6317853286520845,0.0012448755598949044,0.9823406981008066,0.5422355640189446,0.04867373934371293
lig_971,0,0,0,0,0,0,0,0,0,0,0
lig_985,0,0,0,0,0,0,0,0,0,0,0
lig_1254,0.6237350165925698,262.57532389858153,675.6381928853216,885.6475766639469,0.29647834061450157,0.7628747717351775,2.415708153832652,0.0029053559200019658,0.9550395769529509,0.36251283564641656,0.23620527582371634
lig_2345,0.8648087388437151,373.47778982303043,2011.1740803742034,2080.856394993849,0.17948273159144865,0.9665126748836258,3.243386073776369,0.0025878718928416073,0.9837611239830897,0.561868787752724,0.2560337236730763
lig_2537,1.101380471174769,328.2083962640008,409.2694203021511,432.29395561647846,0.7592250412013162,0.9467387063474137,1.9600875141333967,0.00288456577322259,0.6508281930070791,0.026213487507641877,0.9404037597701347
lig_2758,1.0405888368771399,308.685696214427,449.6417586225866,472.5327359141699,0.6532578015303816,0.9515568434696953,1.997434539597349,0.0030826075038109346,0.7571355524208941,0.062360312444371006,0.7141998175364281
lig_3314,0.5339755241998897,345.6097405243896,845.3435846321908,1127.0297762805744,0.3066553766351866,0.7500632214190428,2.6567351931318415,0.002170260653767977,0.9518206133409445,0.3497823608843975,0.15280479902066485
lig_3893,0,0,0,0,0,0,0,0,0,0,0
lig_3931,0,0,0,0,0,0,0,0,0,0,0
lig_4133,0.10278433426602866,234.12429636450747,620.8309280669808,851.7019711350325,0.27488993133654305,0.728929777207891,2.3682284773356423,0.0031134307225979753,0.9614757020589707,0.4011740980701673,0.03031469788050505
lig_5298,0,0,0,0,0,0,0,0,0,0,0
lig_6054,0.5670738198886949,116.38240934757869,557.457236784791,624.5507331920935,0.18634580533233136,0.8925731844643172,2.3052110461359265,0.0076693135111048204,0.9824842191277399,0.5425066059620122,0.22102731266540757
lig_6549,0.785017827976832,205.69494900558124,1127.0142980088156,1145.3486536884495,0.17959155785722264,0.9839923366386379,2.8341570833055876,0.004783745742886174,0.9837412629072829,0.564135867521666,0.26327519159790236
